[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run TokenBuild Behavior [ RunTime:0.000186s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000097s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ShowRuntime Behavior [ RunTime:0.000217s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000805s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_end ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ShowPageTrace Behavior [ RunTime:0.000210s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_end ] --END-- [ RunTime:0.000242s ]
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000366s ]
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000414s ]
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000228s ]
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000260s ]
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000150s ]
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000188s ]
[ 2013-03-29T14:38:08+08:00 ] /weibo/admin.php/Login | INFO: Tag[ view_parse ] --START--
